user_id;username;name;follower;following;tweet_cound;list_count;verified;created_at
47905384;TheReal666;TheReal666;2874;1668;7113;32;False;2009-06-17 09:09:58+00:00
1157373200;TheSkeptic21;The Skeptic;6854;1367;26025;174;False;2013-02-07 14:57:31+00:00
216936416;specstockscom;SpeculatingStocks: Public Companies Raise Funds!;1384;1106;316663;49;False;2010-11-18 03:25:30+00:00
565612962;DPolitical;Daily Political;143;0;87858;112;False;2012-04-28 15:39:01+00:00
3816763393;specstockspulse;SpeculatingStocks.com Social Network for Investors;583;441;432176;36;False;2015-10-07 17:57:06+00:00
287966215;StockTradePicks;ValueTrades;5032;146;9416;84;False;2011-04-26 00:45:37+00:00
3816763393;specstockspulse;SpeculatingStocks.com Social Network for Investors;583;441;432176;36;False;2015-10-07 17:57:06+00:00
877190174115024898;SwingTradeOTC;SwingTradeBot OTC;1672;22;98109;29;False;2017-06-20 15:43:29+00:00
287966215;StockTradePicks;ValueTrades;5032;146;9416;84;False;2011-04-26 00:45:37+00:00
157937378;nfcbanking;nfcbanking;1679;120;84860;188;False;2010-06-21 08:53:41+00:00
2229274855;cardlessnews;Cardless;228;241;105769;205;False;2013-12-04 04:16:44+00:00
1979190776;TickerReport;Ticker Report;3951;41;2046538;194;False;2013-10-21 15:58:27+00:00
930803511918411776;ThisLincolnian;The Lincolnian;735;34;667119;22;False;2017-11-15 14:23:45+00:00
3816763393;specstockspulse;SpeculatingStocks.com Social Network for Investors;583;441;432176;36;False;2015-10-07 17:57:06+00:00
977696849082638336;Pros_Trader;Prospective Trader;55;92;504;0;False;2018-03-25 00:01:08+00:00
930803511918411776;ThisLincolnian;The Lincolnian;735;34;667119;22;False;2017-11-15 14:23:45+00:00
776780281671933952;OutsourceReport;OutsourcingReport;72;56;14594;4;False;2016-09-16 13:50:25+00:00
2181281054;WKRBNews;WKRB News;1269;9;1720338;141;False;2013-11-08 02:17:02+00:00
4309149612;andri000me_40;Andri Ete;54;2010;3382708;0;False;2015-11-21 06:39:32+00:00
15296897;MarketCurrents;Breaking News;81836;1;943068;2509;False;2008-07-02 10:38:58+00:00
943346243429982208;CryptoTrackerBt;Crypto Tracker Bot;554;0;41373;12;False;2017-12-20 05:04:05+00:00
989089454643138560;kgazette_stock;Key Gazette;64;0;51141;1;False;2018-04-25 10:31:17+00:00
989388221686730753;mmahotstuff1;Money Making Articles Hot Stuff;417;0;486584;11;False;2018-04-26 06:18:28+00:00
2920258887;dakotafinancial;Dakota Financial;1540;40;1203556;76;False;2014-12-13 20:48:14+00:00
2181281054;WKRBNews;WKRB News;1269;9;1720338;141;False;2013-11-08 02:17:02+00:00
930803511918411776;ThisLincolnian;The Lincolnian;735;34;667119;22;False;2017-11-15 14:23:45+00:00
2266388972;midetimes;MidEast Times;681;45;1104630;87;False;2013-12-28 20:16:47+00:00
2338882843;dailypoliticaln;Daily Political;1396;10;1266439;84;False;2014-02-11 19:38:04+00:00
1979190776;TickerReport;Ticker Report;3951;41;2046538;194;False;2013-10-21 15:58:27+00:00
989082007010512896;whatsonthorold2;WhatsOnThorold;313;0;483960;12;False;2018-04-25 10:01:41+00:00
15296897;MarketCurrents;Breaking News;81836;1;943068;2509;False;2008-07-02 10:38:58+00:00
877190174115024898;SwingTradeOTC;SwingTradeBot OTC;1672;22;98111;29;False;2017-06-20 15:43:29+00:00
943346243429982208;CryptoTrackerBt;Crypto Tracker Bot;554;0;41373;12;False;2017-12-20 05:04:05+00:00
826406533911158784;hrabiaKent;dataNerd;1951;471;48895;259;False;2017-01-31 12:27:26+00:00
993464474110750722;west_moreland;Westmoreland Times;48;0;110141;1;False;2018-05-07 12:16:03+00:00
1979190776;TickerReport;Ticker Report;3951;41;2046538;194;False;2013-10-21 15:58:27+00:00
136374578;teletechwire;Teletechwire;29;0;4395;2;False;2010-04-23 19:25:40+00:00
989379943946694656;reurope_stock;REurope;276;0;485113;9;False;2018-04-26 05:45:35+00:00
921439300968779776;bzweekly;BZ WEEKLY;62;2;90812;2;False;2017-10-20 18:13:43+00:00
921457762667716608;heraldks;Herald KS;66;1;53009;0;False;2017-10-20 19:27:05+00:00
877190174115024898;SwingTradeOTC;SwingTradeBot OTC;1672;22;98111;29;False;2017-06-20 15:43:29+00:00
890514925130469376;stocknewsweek;Wolcott Daily;55;0;52514;4;False;2017-07-27 10:11:17+00:00
877190174115024898;SwingTradeOTC;SwingTradeBot OTC;1672;22;98111;29;False;2017-06-20 15:43:29+00:00
971695146902339584;The_CasualSmart;The Casual Smart;224;10;324673;5;False;2018-03-08 10:32:31+00:00
989379943946694656;reurope_stock;REurope;276;0;485113;9;False;2018-04-26 05:45:35+00:00
971695146902339584;The_CasualSmart;The Casual Smart;224;10;324673;5;False;2018-03-08 10:32:31+00:00
989388221686730753;mmahotstuff1;Money Making Articles Hot Stuff;417;0;486584;11;False;2018-04-26 06:18:28+00:00
989082007010512896;whatsonthorold2;WhatsOnThorold;313;0;483960;12;False;2018-04-25 10:01:41+00:00
993464474110750722;west_moreland;Westmoreland Times;48;0;110141;1;False;2018-05-07 12:16:03+00:00
930803511918411776;ThisLincolnian;The Lincolnian;735;34;667119;22;False;2017-11-15 14:23:45+00:00
4584354895;MITickWatcher;TickWatcher;5325;4820;77356;74;False;2015-12-17 12:19:55+00:00
943346243429982208;CryptoTrackerBt;Crypto Tracker Bot;554;0;41373;12;False;2017-12-20 05:04:05+00:00
15296897;MarketCurrents;Breaking News;81836;1;943070;2509;False;2008-07-02 10:38:58+00:00
15823970;inflexion;inflexion;102;1051;2380;6;False;2008-08-12 15:55:01+00:00
877190174115024898;SwingTradeOTC;SwingTradeBot OTC;1672;22;98111;29;False;2017-06-20 15:43:29+00:00
2920258887;dakotafinancial;Dakota Financial;1540;40;1203556;76;False;2014-12-13 20:48:14+00:00
930803511918411776;ThisLincolnian;The Lincolnian;735;34;667119;22;False;2017-11-15 14:23:45+00:00
4584354895;MITickWatcher;TickWatcher;5325;4820;77356;74;False;2015-12-17 12:19:55+00:00
