Date,Open,High,Low,Close,Adj Close,Volume
2018-04-25,108.300003,108.900002,106.150002,107.400002,107.129272,930
2018-04-26,106.699997,109.699997,106.699997,109.699997,109.423470,257
2018-04-27,110.599998,112.300003,110.599998,112.050003,111.767555,420
2018-04-30,111.949997,113.199997,111.949997,112.000000,111.717674,405
2018-05-02,112.199997,112.199997,112.199997,112.199997,111.917168,0
2018-05-03,115.800003,116.599998,115.800003,116.550003,116.256210,295
2018-05-04,117.000000,118.699997,117.000000,118.050003,117.752426,220
2018-05-07,118.699997,119.599998,118.400002,118.550003,118.251160,579
2018-05-08,120.000000,120.050003,119.150002,119.150002,118.849655,281
2018-05-09,118.800003,120.849998,118.800003,120.050003,119.747383,1325
2018-05-10,120.050003,120.900002,120.050003,120.900002,120.595238,200
2018-05-11,122.900002,122.900002,121.500000,122.050003,121.742348,363
2018-05-14,121.300003,123.500000,121.300003,123.500000,123.188690,520
2018-05-15,122.150002,123.500000,122.150002,123.449997,123.138809,370
2018-05-16,124.699997,125.150002,122.800003,125.150002,124.834534,209
2018-05-17,126.699997,127.750000,126.199997,127.000000,126.679863,462
2018-05-18,128.850006,130.399994,127.400002,129.899994,129.572540,213
2018-05-21,129.899994,129.899994,129.899994,129.899994,129.572540,0
2018-05-22,134.199997,134.199997,124.099998,124.099998,123.787170,1485
2018-05-23,126.699997,127.900002,126.000000,126.550003,126.231003,133
2018-05-24,127.599998,129.199997,127.599998,127.900002,127.577599,835
2018-05-25,127.099998,129.500000,127.099998,128.300003,127.976585,161
2018-05-28,130.000000,134.100006,130.000000,134.100006,133.761963,3245
2018-05-29,132.600006,132.600006,130.000000,130.000000,129.672302,21
2018-05-30,130.000000,130.449997,129.899994,130.449997,130.121170,381
2018-05-31,130.050003,133.000000,130.050003,132.350006,132.016388,776
2018-06-01,132.100006,133.050003,132.100006,133.050003,132.714615,110
2018-06-04,136.199997,136.449997,134.000000,136.399994,136.056168,490
2018-06-05,138.500000,139.500000,138.399994,138.399994,138.051132,712
2018-06-06,138.399994,139.399994,137.949997,138.899994,138.549850,314
2018-06-07,138.000000,140.399994,138.000000,140.399994,140.046082,874
2018-06-08,139.000000,141.100006,138.899994,141.100006,140.744324,281
2018-06-11,143.800003,143.800003,143.100006,143.500000,143.138260,795
2018-06-12,146.000000,146.000000,145.000000,145.100006,144.734238,430
2018-06-13,147.250000,152.000000,147.250000,151.800003,151.417358,1596
